C1,A1,action,strength,C1_afteraction,A1_afteraction
0.5957,3.603,change A1 (A1 coarse),50.0,0.22169999999999998,3.338
0.22169999999999998,3.338,change A1 (A1 coarse),50.0,0.365,3.179
0.38939999999999997,1.777,change A1 (A1 coarse),50.0,0.44939999999999997,2.053
0.2322,1.632,change A1 (A1 coarse),50.0,0.2686,1.274
0.2686,1.274,change A1 (A1 coarse),50.0,0.534,1.999
16.69,4.001,change A1 (A1 coarse),50.0,19.01,4.346
21.34,3.438,change A1 (A1 coarse),50.0,5.504,0.9207000000000001
2.209,1.851,change A1 (A1 coarse),50.0,3.341,0.7005
13.26,4.124,change A1 (A1 coarse),50.0,3.065,1.097
3.065,1.097,change A1 (A1 coarse),50.0,11.72,1.374
11.72,1.374,change A1 (A1 coarse),50.0,7.961,0.9364
7.961,0.9364,change A1 (A1 coarse),50.0,10.41,1.813
0.2511,4.355,change A1 (A1 coarse),50.0,-0.2419,2.363
-0.2419,2.363,change A1 (A1 coarse),50.0,0.2407,0.8963
1.045,5.945,change A1 (A1 coarse),50.0,0.6307999999999999,5.132
0.6307999999999999,5.132,change A1 (A1 coarse),50.0,1.758,2.523
1.758,2.523,change A1 (A1 coarse),50.0,1.213,2.141
1.213,2.141,change A1 (A1 coarse),50.0,1.599,0.6192000000000001
1.462,0.7888,change A1 (A1 coarse),50.0,1.636,0.7951
3.421,6.37,change A1 (A1 coarse),50.0,3.528,4.844
3.528,4.844,change A1 (A1 coarse),50.0,3.341,1.717
1.855,2.078,change A1 (A1 coarse),50.0,1.469,1.672
-0.3162,4.505,change A1 (A1 coarse),50.0,0.4122,2.222
-0.2214,3.467,change A1 (A1 coarse),50.0,-0.39180000000000004,2.589
1.541,1.969,change A1 (A1 coarse),50.0,-0.1504,3.161
-0.3805,3.016,change A1 (A1 coarse),50.0,-0.6131000000000001,4.372
-1.123,3.32,change A1 (A1 coarse),50.0,-1.181,1.797
0.3334,4.564,change A1 (A1 coarse),50.0,-1.377,1.689
